,City ID,City,Country,Lat,Lon,Date (UTC),Clouds (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,3948642,Abancay,PE,-13.63,-72.88,1600360690,62,37,70.18,17.4704724249
1,584365,Abrau-Dyurso,RU,44.69,37.59,1600360690,0,52,75.0,9.9991052163
2,172515,Abu Samrah,SY,35.3,37.18,1600360690,0,38,78.87,23.1075518757
3,3408368,Acaraú,BR,-2.89,-40.12,1600360690,0,52,87.08,50.331066525000004
4,2194098,Ahipara,NZ,-35.17,173.17,1600360690,98,78,57.43,27.2682533751
5,1651810,Airai,TL,-8.93,125.41,1600360691,65,99,58.21,2.5501073705999997
6,5882953,Aklavik,CA,68.22,-135.01,1600360691,75,100,39.2,13.018969207800001
7,1529660,Aksu,CN,41.12,80.26,1600360691,0,23,70.77,6.8002863216
8,5106841,Albany,US,42.6,-73.97,1600360691,78,66,72.0,4.2949176768
9,3130606,Alcañiz,ES,41.05,-0.13,1600360691,98,58,79.0,11.2070508129
10,582816,Alekseyevskaya,RU,50.29,42.18,1600360692,64,36,62.01,6.71080887
11,2077895,Alice Springs,AU,-23.7,133.88,1600360692,50,64,75.0,7.5161059344
12,2271968,Aljezur,PT,37.32,-8.8,1600360692,42,72,73.0,13.399248377100001
13,4036284,Alofi,NU,-19.06,-169.92,1600360631,92,100,71.6,36.0370436319
14,6316343,Alta Floresta,BR,-9.88,-56.09,1600360692,46,28,96.8,7.5161059344
15,3407882,Altamira,BR,-3.2,-52.21,1600360505,75,63,91.4,18.007337134500002
16,1529651,Altay,CN,47.87,88.12,1600360693,51,31,61.39,14.3611309818
17,1511709,Alzamay,RU,55.56,98.66,1600360693,36,94,50.05,11.408375078999999
18,3407762,Amapá,BR,1.0,-52.0,1600360693,8,34,95.86,10.1556907566
19,1081790,Amboasary,MG,-25.03,46.38,1600360693,0,73,73.4,36.0370436319
20,1651531,Ambon City,ID,-3.7,128.18,1600360693,57,83,78.75,13.1531853852
21,2127202,Anadyr,RU,64.75,177.48,1600360694,40,86,41.0,20.020579795499998
22,3899695,Ancud,CL,-41.87,-73.82,1600360694,100,66,54.0,13.399248377100001
23,5516288,Andrews,US,32.32,-102.55,1600360694,40,53,75.2,7.5161059344
24,1052944,Angoche,MZ,-16.23,39.91,1600360694,52,79,76.01,30.2657480037
25,581568,Ansalta,RU,42.69,46.12,1600360694,0,69,57.85,9.1043307003
26,3899539,Antofagasta,CL,-23.65,-70.4,1600360483,40,67,59.0,23.0180744241
27,6621469,Arrondissement d'Arcachon,FR,44.59,-1.05,1600360695,15,23,93.2,20.5127057793
28,3407194,Areia Branca,BR,-4.96,-37.14,1600360568,20,29,98.6,18.007337134500002
29,2127060,Arman',RU,59.7,150.17,1600360695,0,70,40.62,19.2152827311
30,1511381,Aromashevo,RU,56.86,68.64,1600360695,92,94,47.01,16.0612025622
31,2521582,Arona,ES,28.1,-16.68,1600360695,75,73,77.0,28.5209376975
32,3471451,Arraial do Cabo,BR,-22.97,-42.03,1600360696,1,55,89.6,33.531674987100004
33,686090,Asău,RO,46.43,26.4,1600360696,61,36,79.0,7.5161059344
34,359783,Assiut,EG,27.18,31.18,1600360696,0,31,102.2,20.5127057793
35,1651103,Atambua,ID,-9.11,124.89,1600360696,54,90,70.59,5.100214741199999
36,2381334,Atar,MR,20.52,-13.05,1600360696,0,8,109.35,39.1240157121
37,4020109,Atuona,PF,-9.8,-139.03,1600360697,41,78,77.65,49.79420181540001
38,4035715,Avarua,CK,-21.21,-159.78,1600360488,70,73,69.8,18.007337134500002
39,4231997,Avera,US,33.19,-82.53,1600360697,90,83,82.4,25.5234430689
40,2219235,Ubari,LY,26.59,12.78,1600360697,0,26,89.91,22.4141016258
41,2303611,Esim,GH,4.87,-2.24,1600360698,30,81,77.07,25.5234430689
42,2027296,Aykhal,RU,66.0,111.5,1600360698,45,66,48.2,15.0098425059
